Classifier1,Classifier2,Classifier3,Classifier4,UsingID,SWStart,SWEnd,HWDStart,HWEnd,DistType,Classifier1,Classifier2,Classifier3,Classifier4,RegenDelay,ResetAge,Percent
CF,L,peat,YC10,False,0,999,0,999,DISTID1,CF,L,peat,YC10,0,0,100
CF,L,peat,YC16,False,0,999,0,999,DISTID1,CF,L,peat,YC16,0,0,100
CF,L,peat,YC20,False,0,999,0,999,DISTID1,CF,L,peat,YC20,0,0,100
CF,L,peat,YC24,False,0,999,0,999,DISTID1,CF,L,peat,YC24,0,0,100
CF,L,mineral,YC10,False,0,999,0,999,DISTID1,CF,L,mineral,YC10,0,0,100
CF,L,mineral,YC16,False,0,999,0,999,DISTID1,CF,L,mineral,YC16,0,0,100
CF,L,mineral,YC20,False,0,999,0,999,DISTID1,CF,L,mineral,YC20,0,0,100
CF,L,mineral,YC24,False,0,999,0,999,DISTID1,CF,L,mineral,YC24,0,0,100
BL,L,peat,YC10,False,0,999,0,999,DISTID1,BL,L,peat,YC10,0,0,100
BL,L,mineral,YC10,False,0,999,0,999,DISTID1,BL,L,mineral,YC10,0,0,100
