id,size
AGEID0,0
AGEID1,1
AGEID2,2
AGEID3,3
AGEID4,4
AGEID5,5
AGEID6,6
AGEID7,7
AGEID8,8
AGEID9,9
AGEID10,10
AGEID11,11
AGEID12,12
AGEID13,13
AGEID14,14
AGEID15,15
AGEID16,16
AGEID17,17
AGEID18,18
AGEID19,19
AGEID20,20
AGEID21,21
AGEID22,22
AGEID23,23
AGEID24,24
AGEID25,25
AGEID26,26
AGEID27,27
AGEID28,28
AGEID29,29
AGEID30,30
AGEID31,31
AGEID32,32
AGEID33,33
AGEID34,34
AGEID35,35
AGEID36,36
AGEID37,37
AGEID38,38
AGEID39,39
AGEID40,40
AGEID41,41
AGEID42,42
AGEID43,43
AGEID44,44
AGEID45,45
AGEID46,46
AGEID47,47
AGEID48,48
AGEID49,49
AGEID50,50
AGEID51,51
AGEID52,52
AGEID53,53
AGEID54,54
AGEID55,55
AGEID56,56
AGEID57,57
AGEID58,58
AGEID59,59
AGEID60,60
AGEID61,61
AGEID62,62
AGEID63,63
AGEID64,64
AGEID65,65
AGEID66,66
AGEID67,67
AGEID68,68
AGEID69,69
AGEID70,70
AGEID71,71
AGEID72,72
AGEID73,73
AGEID74,74
AGEID75,75
AGEID76,76
AGEID77,77
AGEID78,78
AGEID79,79
AGEID80,80
AGEID81,81
AGEID82,82
AGEID83,83
AGEID84,84
AGEID85,85
AGEID86,86
AGEID87,87
AGEID88,88
AGEID89,89
AGEID90,90
AGEID91,91
AGEID92,92
AGEID93,93
AGEID94,94
AGEID95,95
AGEID96,96
AGEID97,97
AGEID98,98
AGEID99,99
AGEID100,100
