Classifier1,Classifier2,Classifier3,Classifier4,UsingID,Age,Area,Delay,UNFCCCLC,HistDist,LastDist
NF_Cbmix-Bl,A,mineral,YC10,FALSE,0,94936.8,0,2,DISTID5,DISTID5
NF_Cbmix-Bl-peat,A,peat,YC10,FALSE,0,18272.0,0,2,DISTID5,DISTID5
NF_Cbmix-Conifer,A,mineral,YC10,FALSE,0,8165.9,0,2,DISTID5,DISTID5
NF_Cbmix-Conifer-peat,A,peat,YC10,FALSE,0,7750.5,0,2,DISTID5,DISTID5
NF_Cmix,A,mineral,YC10,FALSE,0,20350.8,0,2,DISTID5,DISTID5
NF_Cmix-peat,A,peat,YC10,FALSE,0,20740.4,0,2,DISTID5,DISTID5
NF_FGB,A,mineral,YC6,FALSE,0,35942.4,0,2,DISTID5,DISTID5
NF_FGB-peat,A,peat,YC6,FALSE,0,12113.2,0,2,DISTID5,DISTID5
NF_OC,A,mineral,YC10,FALSE,0,7914.4,0,2,DISTID5,DISTID5
NF_OC-peat,A,peat,YC10,FALSE,0,2228.0,0,2,DISTID5,DISTID5
NF_Pine13-30,A,mineral,YC13_30,FALSE,0,6242.8,0,2,DISTID5,DISTID5
NF_Pine13-30-peat,A,peat,YC13_30,FALSE,0,6416.0,0,2,DISTID5,DISTID5
NF_Pine4-12,A,mineral,YC4_12,FALSE,0,986.8,0,2,DISTID5,DISTID5
NF_Pine4-12-peat,A,peat,YC4_12,FALSE,0,5636.0,0,2,DISTID5,DISTID5
NF_SGB,A,mineral,YC6,FALSE,0,15029.6,0,2,DISTID5,DISTID5
NF_SGB-peat,A,peat,YC6,FALSE,0,404.4,0,2,DISTID5,DISTID5
NF_SNFGB-mineral,A,mineral,YC6,FALSE,0,7200.0,0,2,DISTID5,DISTID5
NF_SNFGB-peat,A,peat,YC6,FALSE,0,30900.4,0,2,DISTID5,DISTID5
NF_Spruce13-16,A,mineral,YC13_16,FALSE,0,19438.8,0,2,DISTID5,DISTID5
NF_Spruce13-16-peat,A,peat,YC13_16,FALSE,0,18329.2,0,2,DISTID5,DISTID5
NF_Spruce17-20-nothin,A,mineral,YC17_20,FALSE,0,34814.4,0,2,DISTID5,DISTID5
NF_Spruce17-20-nothin-peat,A,peat,YC17_20,FALSE,0,14756.4,0,2,DISTID5,DISTID5
NF_Spruce17-20-thin,A,mineral,YC17_20,FALSE,0,10512.4,0,2,DISTID5,DISTID5
NF_Spruce17-20-thin-peat,A,peat,YC17_20,FALSE,0,10962.8,0,2,DISTID5,DISTID5
NF_Spruce21-24-nothin,A,mineral,YC21_24,FALSE,0,53802.2,0,2,DISTID5,DISTID5
NF_Spruce21-24-nothin-peat,A,peat,YC21_24,FALSE,0,14270.4,0,2,DISTID5,DISTID5
NF_Spruce21-24-thin,A,mineral,YC21_24,FALSE,0,19020.6,0,2,DISTID5,DISTID5
NF_Spruce21-24-thin-peat,A,peat,YC21_24,FALSE,0,7295.2,0,2,DISTID5,DISTID5
NF_Spruce25-32-nothin,A,mineral,YC25_32,FALSE,0,58621.2,0,2,DISTID5,DISTID5
NF_Spruce25-32-nothin-peat,A,peat,YC25_32,FALSE,0,5752.0,0,2,DISTID5,DISTID5
NF_Spruce25-32-thin,A,mineral,YC25_32,FALSE,0,11842.0,0,2,DISTID5,DISTID5
NF_Spruce25-32-thin-peat,A,peat,YC25_32,FALSE,0,3468.8,0,2,DISTID5,DISTID5
NF_Spruce4-12,A,mineral,YC4_12,FALSE,0,3660.0,0,2,DISTID5,DISTID5
NF_Spruce4-12-peat,A,peat,YC4_12,FALSE,0,24711.6,0,2,DISTID5,DISTID5
