Classifier1,Classifier2,Classifier3,Classifier4,UsingID,SWStart,SWEnd,HWStart,HWEnd,Dist_Type_ID,Classifier1,Classifier2,Classifier3,Classifier4,RegenDelay,ResetAge,Percent
NF_Cbmix-Bl,A,mineral,YC10,FALSE,0,210,0,210,DISTID4,Cbmix-Bl,L,mineral,YC10,0,1,100
NF_Cbmix-Bl-peat,A,peat,YC10,FALSE,0,210,0,210,DISTID4,Cbmix-Bl,L,peat,YC10,0,1,100
NF_Cbmix-Conifer,A,mineral,YC10,FALSE,0,210,0,210,DISTID4,Cbmix-Conifer,L,mineral,YC10,0,1,100
NF_Cbmix-Conifer-peat,A,peat,YC10,FALSE,0,210,0,210,DISTID4,Cbmix-Conifer,L,peat,YC10,0,1,100
NF_Cmix,A,mineral,YC10,FALSE,0,210,0,210,DISTID4,Cmix,L,mineral,YC10,0,1,100
NF_Cmix-peat,A,peat,YC10,FALSE,0,210,0,210,DISTID4,Cmix,L,peat,YC10,0,1,100
NF_FGB,A,mineral,YC6,FALSE,0,210,0,210,DISTID4,FGB,L,mineral,YC6,0,1,100
NF_FGB-peat,A,peat,YC6,FALSE,0,210,0,210,DISTID4,FGB,L,peat,YC6,0,1,100
NF_OC,A,mineral,YC10,FALSE,0,210,0,210,DISTID4,OC,L,mineral,YC10,0,1,100
NF_OC-peat,A,peat,YC10,FALSE,0,210,0,210,DISTID4,OC,L,peat,YC10,0,1,100
NF_Pine13-30,A,mineral,YC13_30,FALSE,0,210,0,210,DISTID4,Pine13-30,L,mineral,YC13_30,0,1,100
NF_Pine13-30-peat,A,peat,YC13_30,FALSE,0,210,0,210,DISTID4,Pine13-30,L,peat,YC13_30,0,1,100
NF_Pine4-12,A,mineral,YC4_12,FALSE,0,210,0,210,DISTID4,Pine4-12,L,mineral,YC4_12,0,1,100
NF_Pine4-12-peat,A,peat,YC4_12,FALSE,0,210,0,210,DISTID4,Pine4-12,L,peat,YC4_12,0,1,100
NF_SGB,A,mineral,YC6,FALSE,0,210,0,210,DISTID4,SGB,L,mineral,YC6,0,1,100
NF_SGB-peat,A,peat,YC6,FALSE,0,210,0,210,DISTID4,SGB,L,peat,YC6,0,1,100
NF_SNFGB-mineral,A,mineral,YC6,FALSE,0,210,0,210,DISTID4,SNFGB-mineral,L,mineral,YC6,0,1,100
NF_SNFGB-peat,A,peat,YC6,FALSE,0,210,0,210,DISTID4,SNFGB-peat,L,peat,YC6,0,1,100
NF_Spruce13-16,A,mineral,YC13_16,FALSE,0,210,0,210,DISTID4,Spruce13-16,L,mineral,YC13_16,0,1,100
NF_Spruce13-16-peat,A,peat,YC13_16,FALSE,0,210,0,210,DISTID4,Spruce13-16,L,peat,YC13_16,0,1,100
NF_Spruce17-20-nothin,A,mineral,YC17_20,FALSE,0,210,0,210,DISTID4,Spruce17-20-nothin,L,mineral,YC17_20,0,1,100
NF_Spruce17-20-nothin-peat,A,peat,YC17_20,FALSE,0,210,0,210,DISTID4,Spruce17-20-nothin,L,peat,YC17_20,0,1,100
NF_Spruce17-20-thin,A,mineral,YC17_20,FALSE,0,210,0,210,DISTID4,Spruce17-20-thin,L,mineral,YC17_20,0,1,100
NF_Spruce17-20-thin-peat,A,peat,YC17_20,FALSE,0,210,0,210,DISTID4,Spruce17-20-thin,L,peat,YC17_20,0,1,100
NF_Spruce21-24-nothin,A,mineral,YC21_24,FALSE,0,210,0,210,DISTID4,Spruce21-24-nothin,L,mineral,YC21_24,0,1,100
NF_Spruce21-24-nothin-peat,A,peat,YC21_24,FALSE,0,210,0,210,DISTID4,Spruce21-24-nothin,L,peat,YC21_24,0,1,100
NF_Spruce21-24-thin,A,mineral,YC21_24,FALSE,0,210,0,210,DISTID4,Spruce21-24-thin,L,mineral,YC21_24,0,1,100
NF_Spruce21-24-thin-peat,A,peat,YC21_24,FALSE,0,210,0,210,DISTID4,Spruce21-24-thin,L,peat,YC21_24,0,1,100
NF_Spruce25-32-nothin,A,mineral,YC25_32,FALSE,0,210,0,210,DISTID4,Spruce25-32-nothin,L,mineral,YC25_32,0,1,100
NF_Spruce25-32-nothin-peat,A,peat,YC25_32,FALSE,0,210,0,210,DISTID4,Spruce25-32-nothin,L,peat,YC25_32,0,1,100
NF_Spruce25-32-thin,A,mineral,YC25_32,FALSE,0,210,0,210,DISTID4,Spruce25-32-thin,L,mineral,YC25_32,0,1,100
NF_Spruce25-32-thin-peat,A,peat,YC25_32,FALSE,0,210,0,210,DISTID4,Spruce25-32-thin,L,peat,YC25_32,0,1,100
NF_Spruce4-12,A,mineral,YC4_12,FALSE,0,210,0,210,DISTID4,Spruce4-12,L,mineral,YC4_12,0,1,100
NF_Spruce4-12-peat,A,peat,YC4_12,FALSE,0,210,0,210,DISTID4,Spruce4-12,L,peat,YC4_12,0,1,100
Spruce17-20-nothin,L,?,YC17_20,FALSE,15,16,15,16,DISTID6,Spruce17-20-thin,L,?,YC17_20,0,15,100
Spruce21-24-nothin,L,?,YC21_24,FALSE,15,16,15,16,DISTID6,Spruce21-24-thin,L,?,YC21_24,0,15,100
Spruce25-32-nothin,L,?,YC25_32,FALSE,15,16,15,16,DISTID6,Spruce25-32-thin,L,?,YC25_32,0,15,100
Cbmix-Bl,L,mineral,YC10,FALSE,0,210,0,210,DISTID1,Cbmix-Bl,L,mineral,YC10,0,0,100
Cbmix-Bl,L,peat,YC10,FALSE,0,210,0,210,DISTID1,Cbmix-Bl,L,peat,YC10,0,0,100
Cbmix-Conifer,L,mineral,YC10,FALSE,0,210,0,210,DISTID1,Cbmix-Conifer,L,mineral,YC10,0,0,100
Cbmix-Conifer,L,peat,YC10,FALSE,0,210,0,210,DISTID1,Cbmix-Conifer,L,peat,YC10,0,0,100
Cmix,L,mineral,YC10,FALSE,0,210,0,210,DISTID1,Cmix,L,mineral,YC10,0,0,100
Cmix,L,peat,YC10,FALSE,0,210,0,210,DISTID1,Cmix,L,peat,YC10,0,0,100
FGB,L,mineral,YC6,FALSE,0,210,0,210,DISTID1,FGB,L,mineral,YC6,0,0,100
FGB,L,peat,YC6,FALSE,0,210,0,210,DISTID1,FGB,L,peat,YC6,0,0,100
OC,L,mineral,YC10,FALSE,0,210,0,210,DISTID1,OC,L,mineral,YC10,0,0,100
OC,L,peat,YC10,FALSE,0,210,0,210,DISTID1,OC,L,peat,YC10,0,0,100
Pine13-30,L,mineral,YC13_30,FALSE,0,210,0,210,DISTID1,Pine13-30,L,mineral,YC13_30,0,0,100
Pine13-30,L,peat,YC13_30,FALSE,0,210,0,210,DISTID1,Pine13-30,L,peat,YC13_30,0,0,100
Pine4-12,L,mineral,YC4_12,FALSE,0,210,0,210,DISTID1,Pine4-12,L,mineral,YC4_12,0,0,100
Pine4-12,L,peat,YC4_12,FALSE,0,210,0,210,DISTID1,Pine4-12,L,peat,YC4_12,0,0,100
SGB,L,mineral,YC6,FALSE,0,210,0,210,DISTID1,SGB,L,mineral,YC6,0,0,100
SGB,L,peat,YC6,FALSE,0,210,0,210,DISTID1,SGB,L,peat,YC6,0,0,100
SNFGB-mineral,L,mineral,YC6,FALSE,0,210,0,210,DISTID1,SNFGB-mineral,L,mineral,YC6,0,0,100
SNFGB-peat,L,peat,YC6,FALSE,0,210,0,210,DISTID1,SNFGB-peat,L,peat,YC6,0,0,100
Spruce13-16,L,mineral,YC13_16,FALSE,0,210,0,210,DISTID1,Spruce13-16,L,mineral,YC13_16,0,0,100
Spruce13-16,L,peat,YC13_16,FALSE,0,210,0,210,DISTID1,Spruce13-16,L,peat,YC13_16,0,0,100
Spruce17-20-nothin,L,mineral,YC17_20,FALSE,0,210,0,210,DISTID1,Spruce17-20-nothin,L,mineral,YC17_20,0,0,100
Spruce17-20-nothin,L,peat,YC17_20,FALSE,0,210,0,210,DISTID1,Spruce17-20-nothin,L,peat,YC17_20,0,0,100
Spruce17-20-thin,L,mineral,YC17_20,FALSE,0,210,0,210,DISTID1,Spruce17-20-thin,L,mineral,YC17_20,0,0,100
Spruce17-20-thin,L,peat,YC17_20,FALSE,0,210,0,210,DISTID1,Spruce17-20-thin,L,peat,YC17_20,0,0,100
Spruce21-24-nothin,L,mineral,YC21_24,FALSE,0,210,0,210,DISTID1,Spruce21-24-nothin,L,mineral,YC21_24,0,0,100
Spruce21-24-nothin,L,peat,YC21_24,FALSE,0,210,0,210,DISTID1,Spruce21-24-nothin,L,peat,YC21_24,0,0,100
Spruce21-24-thin,L,mineral,YC21_24,FALSE,0,210,0,210,DISTID1,Spruce21-24-thin,L,mineral,YC21_24,0,0,100
Spruce21-24-thin,L,peat,YC21_24,FALSE,0,210,0,210,DISTID1,Spruce21-24-thin,L,peat,YC21_24,0,0,100
Spruce25-32-nothin,L,mineral,YC25_32,FALSE,0,210,0,210,DISTID1,Spruce25-32-nothin,L,mineral,YC25_32,0,0,100
Spruce25-32-nothin,L,peat,YC25_32,FALSE,0,210,0,210,DISTID1,Spruce25-32-nothin,L,peat,YC25_32,0,0,100
Spruce25-32-thin,L,mineral,YC25_32,FALSE,0,210,0,210,DISTID1,Spruce25-32-thin,L,mineral,YC25_32,0,0,100
Spruce25-32-thin,L,peat,YC25_32,FALSE,0,210,0,210,DISTID1,Spruce25-32-thin,L,peat,YC25_32,0,0,100
Spruce4-12,L,mineral,YC4_12,FALSE,0,210,0,210,DISTID1,Spruce4-12,L,mineral,YC4_12,0,0,100
Spruce4-12,L,peat,YC4_12,FALSE,0,210,0,210,DISTID1,Spruce4-12,L,peat,YC4_12,0,0,100
