Classifier1,Classifier2,Classifier3,Classifier4,UsingID,Age,Area,Delay,UNFCCCL,HistDist,LastDist
Pine13-30,YC13_30,mineral,coillte,TRUE,AGEID4,27.5,0,0,DISTID3,DISTID1
Pine4-12,YC4_12,mineral,coillte,TRUE,AGEID4,109.8,0,0,DISTID3,DISTID1
SGB,YC6,mineral,coillte,TRUE,AGEID4,37.7,0,0,DISTID3,DISTID1
SNFGB-mineral,YC6,mineral,coillte,TRUE,AGEID4,165.1,0,0,DISTID3,DISTID1
Spruce13-16,YC13_16,mineral,coillte,TRUE,AGEID4,489.3,0,0,DISTID3,DISTID1
Spruce4-12,YC4_12,mineral,coillte,TRUE,AGEID4,300.3,0,0,DISTID3,DISTID1
Cbmix-Bl,YC10,mineral,private,TRUE,AGEID4,117.0,0,0,DISTID3,DISTID1
Cbmix-Conifer,YC10,mineral,private,TRUE,AGEID4,17.3,0,0,DISTID3,DISTID1
Cmix,YC10,mineral,private,TRUE,AGEID4,3.6,0,0,DISTID3,DISTID1
FGB,YC6,mineral,private,TRUE,AGEID4,136.2,0,0,DISTID3,DISTID1
Pine13-30,YC13_30,mineral,private,TRUE,AGEID4,2.5,0,0,DISTID3,DISTID1
SGB,YC6,mineral,private,TRUE,AGEID4,89.0,0,0,DISTID3,DISTID1
SNFGB-mineral,YC6,mineral,private,TRUE,AGEID4,910.2,0,0,DISTID3,DISTID1
Cbmix-Bl,YC10,peat,coillte,TRUE,AGEID4,264.5,0,0,DISTID3,DISTID1
Cbmix-Conifer,YC10,peat,coillte,TRUE,AGEID4,340.7,0,0,DISTID3,DISTID1
Cmix,YC10,peat,coillte,TRUE,AGEID4,672.7,0,0,DISTID3,DISTID1
FGB,YC6,peat,coillte,TRUE,AGEID4,61.5,0,0,DISTID3,DISTID1
OC,YC10,peat,coillte,TRUE,AGEID4,8.7,0,0,DISTID3,DISTID1
Pine13-30,YC13_30,peat,coillte,TRUE,AGEID4,1.2,0,0,DISTID3,DISTID1
SNFGB-peat,YC6,peat,coillte,TRUE,AGEID4,70.7,0,0,DISTID3,DISTID1
Spruce13-16,YC13_16,peat,coillte,TRUE,AGEID4,94.1,0,0,DISTID3,DISTID1
Spruce4-12,YC4_12,peat,coillte,TRUE,AGEID4,12.3,0,0,DISTID3,DISTID1
Pine4-12,YC4_12,peat,private,TRUE,AGEID4,27.9,0,0,DISTID3,DISTID1
SNFGB-peat,YC6,peat,private,TRUE,AGEID4,410.1,0,0,DISTID3,DISTID1
Spruce4-12,YC4_12,peat,private,TRUE,AGEID4,29.4,0,0,DISTID3,DISTID1
Spruce17-20-thin,YC17_20,mineral,coillte,TRUE,AGEID4,713.4,0,0,DISTID3,DISTID1
Spruce21-24-thin,YC21_24,mineral,coillte,TRUE,AGEID4,826.9,0,0,DISTID3,DISTID1
Spruce25-32-thin,YC25_32,mineral,coillte,TRUE,AGEID4,69.0,0,0,DISTID3,DISTID1
Spruce21-24-thin,YC21_24,mineral,private,TRUE,AGEID4,0.0,0,0,DISTID3,DISTID1
Spruce17-20-thin,YC17_20,peat,coillte,TRUE,AGEID4,396.5,0,0,DISTID3,DISTID1
Spruce21-24-thin,YC21_24,peat,coillte,TRUE,AGEID4,445.1,0,0,DISTID3,DISTID1
Spruce17-20-nothin,YC17_20,mineral,coillte,TRUE,AGEID4,367.5,0,0,DISTID3,DISTID1
Spruce21-24-nothin,YC21_24,mineral,coillte,TRUE,AGEID4,426.0,0,0,DISTID3,DISTID1
Spruce25-32-nothin,YC25_32,mineral,coillte,TRUE,AGEID4,35.6,0,0,DISTID3,DISTID1
Spruce21-24-nothin,YC21_24,mineral,private,TRUE,AGEID4,0.0,0,0,DISTID3,DISTID1
Spruce17-20-nothin,YC17_20,peat,coillte,TRUE,AGEID4,204.3,0,0,DISTID3,DISTID1
Spruce21-24-nothin,YC21_24,peat,coillte,TRUE,AGEID4,229.3,0,0,DISTID3,DISTID1
Cbmix-Bl,YC10,mineral,coillte,TRUE,AGEID5,125.5,0,0,DISTID3,DISTID1
Cbmix-Conifer,YC10,mineral,coillte,TRUE,AGEID5,660.9,0,0,DISTID3,DISTID1
Cmix,YC10,mineral,coillte,TRUE,AGEID5,308.6,0,0,DISTID3,DISTID1
FGB,YC6,mineral,coillte,TRUE,AGEID5,287.2,0,0,DISTID3,DISTID1
OC,YC10,mineral,coillte,TRUE,AGEID5,300.3,0,0,DISTID3,DISTID1
Pine13-30,YC13_30,mineral,coillte,TRUE,AGEID5,0.0,0,0,DISTID3,DISTID1
Pine4-12,YC4_12,mineral,coillte,TRUE,AGEID5,15.2,0,0,DISTID3,DISTID1
