Classifier1,Classifier2,Classifier3,Classifier4,LeadSpecies,Vol0,Vol1,Vol2,Vol3,Vol4,Vol5,Vol6,Vol7,Vol8,Vol9,Vol10,Vol11,Vol12,Vol13,Vol14,Vol15,Vol16,Vol17,Vol18,Vol19,Vol20
Cbmix-Bl,YC10,?,?,Cbmix-Bl,0,0.402,37.358,118.074,164.065,180.76,186.042,187.645,188.125,188.269,188.312,188.325,188.328,188.33,188.33,188.33,188.33,188.33,188.33,188.33,188.33
Cbmix-Conifer,YC10,?,?,Cbmix-Conifer,0,7.663,46.361,101.644,152.979,192.331,219.67,237.659,249.131,256.313,260.761,263.497,265.174,266.198,266.824,267.205,267.438,267.579,267.666,267.718,267.75
Cmix,YC10,?,?,Cmix,0,8.289,37.211,77.543,119.541,157.686,189.787,215.569,235.66,251.002,262.554,271.169,277.549,282.251,285.704,288.233,290.082,291.433,292.418,293.136,293.659
FGB,YC6,?,?,FGB,0,0.181,13.954,63.105,116.182,150.692,168.747,177.341,181.265,183.025,183.808,184.155,184.308,184.376,184.406,184.419,184.425,184.428,184.429,184.43,184.43
OC,YC10,?,?,OC,0,7.935,56.066,131.29,204.286,261.508,301.707,328.291,345.271,355.898,362.469,366.502,368.967,370.47,371.384,371.94,372.278,372.483,372.607,372.683,372.729
Pine13-30,YC13_30,?,?,Pine13-30,0,0.0,0.0,0.281,173.738,313.943,331.523,333.19,333.344,333.359,333.36,333.36,333.36,333.36,333.36,333.36,333.36,333.36,333.36,333.36,333.36
Pine4-12,YC4_12,?,?,Pine4-12,0,0.0,0.0,0.055,15.969,79.106,124.714,141.999,147.355,148.92,149.37,149.499,149.535,149.546,149.549,149.55,149.55,149.55,149.55,149.55,149.55
SGB,YC6,?,?,SGB,0,0.5,5.747,20.205,44.201,75.156,109.638,144.611,177.896,208.183,234.859,257.791,277.148,293.264,306.537,317.38,326.181,333.288,339.005,343.59,347.258
SNFGB-mineral,YC6,?,?,SNFGB-mineral,0,26.56,52.022,74.269,93.319,109.48,123.116,134.583,144.202,152.258,158.995,164.625,169.325,173.248,176.519,179.247,181.521,183.415,184.994,186.309,187.404
Spruce13-16,YC13_16,?,?,Spruce13-16,0,0.151,6.639,38.305,101.544,182.47,263.382,333.261,388.386,429.441,458.9,479.532,493.751,503.449,510.016,514.442,517.416,519.411,520.747,521.64,522.237
Spruce17-20-nothin,YC17_20,?,?,Spruce17-20-nothin,0,0.508,23.084,100.746,197.052,272.672,320.503,347.713,362.392,370.102,374.097,376.153,377.207,377.746,378.022,378.163,378.235,378.272,378.29,378.3,378.305
Spruce17-20-thin,YC17_20,?,?,Spruce17-20-thin,0,0.864,21.525,88.005,183.854,278.312,354.511,409.463,446.597,470.74,486.077,495.684,501.651,505.338,507.608,509.004,509.861,510.387,510.709,510.907,511.028
Spruce21-24-nothin,YC21_24,?,?,Spruce21-24-nothin,0,1.403,45.67,176.698,328.565,444.656,517.521,559.022,581.529,593.436,599.655,602.882,604.551,605.413,605.857,606.086,606.204,606.265,606.297,606.313,606.321
Spruce21-24-thin,YC21_24,?,?,Spruce21-24-thin,0,1.662,48.364,171.048,298.372,386.931,438.248,465.525,479.433,486.384,489.823,491.517,492.349,492.757,492.957,493.056,493.104,493.127,493.139,493.145,493.147
Spruce25-32-nothin,YC25_32,?,?,Spruce25-32-nothin,0,7.0,106.074,288.84,445.396,543.072,596.011,622.897,636.14,642.569,645.669,647.158,647.872,648.215,648.379,648.458,648.495,648.513,648.522,648.526,648.528
Spruce25-32-thin,YC25_32,?,?,Spruce25-32-thin,0,10.062,105.82,253.362,370.624,441.763,480.037,499.512,509.163,513.885,516.182,517.295,517.835,518.096,518.222,518.283,518.312,518.327,518.334,518.337,518.338
Spruce4-12,YC4_12,?,?,Spruce4-12,0,0.086,2.416,12.288,32.024,59.065,88.915,117.744,143.264,164.571,181.656,194.976,205.155,212.825,218.545,222.781,225.9,228.189,229.864,231.087,231.978
SNFGB-peat,YC6,?,?,SNFGB-peat,0,0.265463793104658,2.62884485649908,8.98469587007799,19.7026407838158,33.9507067550058,50.399450783871,67.7264149404564,84.8624970606272,101.060186495297,115.868088218324,129.068909662467,140.612269075926,150.55640193839,159.023112152398,166.165600453547,172.1469616748,177.126761331329,181.253360560934,184.660126875805,187.464144721414
