Classifier1,Classifier2,Classifier3,Classifier4,UsingID,SWStart,SWEnd,HWStart,HWEnd,Dist_Type_ID,Classifier1,Classifier2,Classifier3,Classifier4,RegenDelay,ResetAge,Percent
SNFGB-mineral,YC6,mineral,private,FALSE,0,210,0,210,DISTID3,SNFGB-mineral,YC6,mineral,private,0,0,100
Cbmix-Bl,YC10,mineral,private,FALSE,0,210,0,210,DISTID3,Cbmix-Bl,YC10,mineral,private,0,0,100
FGB,YC6,mineral,private,FALSE,0,210,0,210,DISTID3,FGB,YC6,mineral,private,0,0,100
Spruce25-32-thin,YC25_32,mineral,private,FALSE,0,210,0,210,DISTID3,Spruce25-32-thin,YC25_32,mineral,private,0,0,100
Cbmix-Conifer,YC10,mineral,private,FALSE,0,210,0,210,DISTID3,Cbmix-Conifer,YC10,mineral,private,0,0,100
Spruce4-12,YC4_12,mineral,private,FALSE,0,210,0,210,DISTID3,Spruce4-12,YC4_12,mineral,private,0,0,100
Cmix,YC10,mineral,private,FALSE,0,210,0,210,DISTID3,Cmix,YC10,mineral,private,0,0,100
OC,YC10,mineral,private,FALSE,0,210,0,210,DISTID3,OC,YC10,mineral,private,0,0,100
SGB,YC6,mineral,private,FALSE,0,210,0,210,DISTID3,SGB,YC6,mineral,private,0,0,100
SNFGB-peat,YC6,mineral,private,FALSE,0,210,0,210,DISTID3,SNFGB-peat,YC6,mineral,private,0,0,100
Spruce13-16,YC13_16,mineral,private,FALSE,0,210,0,210,DISTID3,Spruce13-16,YC13_16,mineral,private,0,0,100
Spruce17-20-nothin,YC17_20,mineral,private,FALSE,0,210,0,210,DISTID3,Spruce17-20-nothin,YC17_20,mineral,private,0,0,100
Spruce17-20-thin,YC17_20,mineral,private,FALSE,0,210,0,210,DISTID3,Spruce17-20-thin,YC17_20,mineral,private,0,0,100
Spruce21-24-nothin,YC21_24,mineral,private,FALSE,0,210,0,210,DISTID3,Spruce21-24-nothin,YC21_24,mineral,private,0,0,100
Spruce21-24-thin,YC21_24,mineral,private,FALSE,0,210,0,210,DISTID3,Spruce21-24-thin,YC21_24,mineral,private,0,0,100
Spruce25-32-nothin,YC25_32,mineral,private,FALSE,0,210,0,210,DISTID3,Spruce25-32-nothin,YC25_32,mineral,private,0,0,100
Pine13-30,YC13_30,mineral,private,FALSE,0,210,0,210,DISTID3,Pine13-30,YC13_30,mineral,private,0,0,100
Pine4-12,YC4_12,mineral,private,FALSE,0,210,0,210,DISTID3,Pine4-12,YC4_12,mineral,private,0,0,100
SNFGB-mineral,YC6,peat,private,FALSE,0,210,0,210,DISTID3,SNFGB-mineral,YC6,peat,private,0,0,100
Cbmix-Bl,YC10,peat,private,FALSE,0,210,0,210,DISTID3,Cbmix-Bl,YC10,peat,private,0,0,100
FGB,YC6,peat,private,FALSE,0,210,0,210,DISTID3,FGB,YC6,peat,private,0,0,100
Spruce25-32-thin,YC25_32,peat,private,FALSE,0,210,0,210,DISTID3,Spruce25-32-thin,YC25_32,peat,private,0,0,100
Cbmix-Conifer,YC10,peat,private,FALSE,0,210,0,210,DISTID3,Cbmix-Conifer,YC10,peat,private,0,0,100
Spruce4-12,YC4_12,peat,private,FALSE,0,210,0,210,DISTID3,Spruce4-12,YC4_12,peat,private,0,0,100
Cmix,YC10,peat,private,FALSE,0,210,0,210,DISTID3,Cmix,YC10,peat,private,0,0,100
OC,YC10,peat,private,FALSE,0,210,0,210,DISTID3,OC,YC10,peat,private,0,0,100
SGB,YC6,peat,private,FALSE,0,210,0,210,DISTID3,SGB,YC6,peat,private,0,0,100
SNFGB-peat,YC6,peat,private,FALSE,0,210,0,210,DISTID3,SNFGB-peat,YC6,peat,private,0,0,100
Spruce13-16,YC13_16,peat,private,FALSE,0,210,0,210,DISTID3,Spruce13-16,YC13_16,peat,private,0,0,100
Spruce17-20-nothin,YC17_20,peat,private,FALSE,0,210,0,210,DISTID3,Spruce17-20-nothin,YC17_20,peat,private,0,0,100
Spruce17-20-thin,YC17_20,peat,private,FALSE,0,210,0,210,DISTID3,Spruce17-20-thin,YC17_20,peat,private,0,0,100
Spruce21-24-nothin,YC21_24,peat,private,FALSE,0,210,0,210,DISTID3,Spruce21-24-nothin,YC21_24,peat,private,0,0,100
Spruce21-24-thin,YC21_24,peat,private,FALSE,0,210,0,210,DISTID3,Spruce21-24-thin,YC21_24,peat,private,0,0,100
Spruce25-32-nothin,YC25_32,peat,private,FALSE,0,210,0,210,DISTID3,Spruce25-32-nothin,YC25_32,peat,private,0,0,100
Pine13-30,YC13_30,peat,private,FALSE,0,210,0,210,DISTID3,Pine13-30,YC13_30,peat,private,0,0,100
Pine4-12,YC4_12,peat,private,FALSE,0,210,0,210,DISTID3,Pine4-12,YC4_12,peat,private,0,0,100
SNFGB-mineral,YC6,mineral,coillte,FALSE,0,210,0,210,DISTID3,SNFGB-mineral,YC6,mineral,coillte,0,0,100
Cbmix-Bl,YC10,mineral,coillte,FALSE,0,210,0,210,DISTID3,Cbmix-Bl,YC10,mineral,coillte,0,0,100
FGB,YC6,mineral,coillte,FALSE,0,210,0,210,DISTID3,FGB,YC6,mineral,coillte,0,0,100
Spruce25-32-thin,YC25_32,mineral,coillte,FALSE,0,210,0,210,DISTID3,Spruce25-32-thin,YC25_32,mineral,coillte,0,0,100
Cbmix-Conifer,YC10,mineral,coillte,FALSE,0,210,0,210,DISTID3,Cbmix-Conifer,YC10,mineral,coillte,0,0,100
Spruce4-12,YC4_12,mineral,coillte,FALSE,0,210,0,210,DISTID3,Spruce4-12,YC4_12,mineral,coillte,0,0,100
Cmix,YC10,mineral,coillte,FALSE,0,210,0,210,DISTID3,Cmix,YC10,mineral,coillte,0,0,100
OC,YC10,mineral,coillte,FALSE,0,210,0,210,DISTID3,OC,YC10,mineral,coillte,0,0,100
SGB,YC6,mineral,coillte,FALSE,0,210,0,210,DISTID3,SGB,YC6,mineral,coillte,0,0,100
SNFGB-peat,YC6,mineral,coillte,FALSE,0,210,0,210,DISTID3,SNFGB-peat,YC6,mineral,coillte,0,0,100
Spruce13-16,YC13_16,mineral,coillte,FALSE,0,210,0,210,DISTID3,Spruce13-16,YC13_16,mineral,coillte,0,0,100
Spruce17-20-nothin,YC17_20,mineral,coillte,FALSE,0,210,0,210,DISTID3,Spruce17-20-nothin,YC17_20,mineral,coillte,0,0,100
Spruce17-20-thin,YC17_20,mineral,coillte,FALSE,0,210,0,210,DISTID3,Spruce17-20-thin,YC17_20,mineral,coillte,0,0,100
Spruce21-24-nothin,YC21_24,mineral,coillte,FALSE,0,210,0,210,DISTID3,Spruce21-24-nothin,YC21_24,mineral,coillte,0,0,100
Spruce21-24-thin,YC21_24,mineral,coillte,FALSE,0,210,0,210,DISTID3,Spruce21-24-thin,YC21_24,mineral,coillte,0,0,100
Spruce25-32-nothin,YC25_32,mineral,coillte,FALSE,0,210,0,210,DISTID3,Spruce25-32-nothin,YC25_32,mineral,coillte,0,0,100
Pine13-30,YC13_30,mineral,coillte,FALSE,0,210,0,210,DISTID3,Pine13-30,YC13_30,mineral,coillte,0,0,100
Pine4-12,YC4_12,mineral,coillte,FALSE,0,210,0,210,DISTID3,Pine4-12,YC4_12,mineral,coillte,0,0,100
SNFGB-mineral,YC6,peat,coillte,FALSE,0,210,0,210,DISTID3,SNFGB-mineral,YC6,peat,coillte,0,0,100
Cbmix-Bl,YC10,peat,coillte,FALSE,0,210,0,210,DISTID3,Cbmix-Bl,YC10,peat,coillte,0,0,100
FGB,YC6,peat,coillte,FALSE,0,210,0,210,DISTID3,FGB,YC6,peat,coillte,0,0,100
Spruce25-32-thin,YC25_32,peat,coillte,FALSE,0,210,0,210,DISTID3,Spruce25-32-thin,YC25_32,peat,coillte,0,0,100
Cbmix-Conifer,YC10,peat,coillte,FALSE,0,210,0,210,DISTID3,Cbmix-Conifer,YC10,peat,coillte,0,0,100
Spruce4-12,YC4_12,peat,coillte,FALSE,0,210,0,210,DISTID3,Spruce4-12,YC4_12,peat,coillte,0,0,100
Cmix,YC10,peat,coillte,FALSE,0,210,0,210,DISTID3,Cmix,YC10,peat,coillte,0,0,100
OC,YC10,peat,coillte,FALSE,0,210,0,210,DISTID3,OC,YC10,peat,coillte,0,0,100
SGB,YC6,peat,coillte,FALSE,0,210,0,210,DISTID3,SGB,YC6,peat,coillte,0,0,100
SNFGB-peat,YC6,peat,coillte,FALSE,0,210,0,210,DISTID3,SNFGB-peat,YC6,peat,coillte,0,0,100
Spruce13-16,YC13_16,peat,coillte,FALSE,0,210,0,210,DISTID3,Spruce13-16,YC13_16,peat,coillte,0,0,100
Spruce17-20-nothin,YC17_20,peat,coillte,FALSE,0,210,0,210,DISTID3,Spruce17-20-nothin,YC17_20,peat,coillte,0,0,100
Spruce17-20-thin,YC17_20,peat,coillte,FALSE,0,210,0,210,DISTID3,Spruce17-20-thin,YC17_20,peat,coillte,0,0,100
Spruce21-24-nothin,YC21_24,peat,coillte,FALSE,0,210,0,210,DISTID3,Spruce21-24-nothin,YC21_24,peat,coillte,0,0,100
Spruce21-24-thin,YC21_24,peat,coillte,FALSE,0,210,0,210,DISTID3,Spruce21-24-thin,YC21_24,peat,coillte,0,0,100
Spruce25-32-nothin,YC25_32,peat,coillte,FALSE,0,210,0,210,DISTID3,Spruce25-32-nothin,YC25_32,peat,coillte,0,0,100
Pine13-30,YC13_30,peat,coillte,FALSE,0,210,0,210,DISTID3,Pine13-30,YC13_30,peat,coillte,0,0,100
Pine4-12,YC4_12,peat,coillte,FALSE,0,210,0,210,DISTID3,Pine4-12,YC4_12,peat,coillte,0,0,100
SNFGB-mineral,YC6,mineral,private,FALSE,0,210,0,210,DISTID1,SNFGB-mineral,YC6,mineral,private,0,0,100
Cbmix-Bl,YC10,mineral,private,FALSE,0,210,0,210,DISTID1,Cbmix-Bl,YC10,mineral,private,0,0,100
FGB,YC6,mineral,private,FALSE,0,210,0,210,DISTID1,FGB,YC6,mineral,private,0,0,100
Spruce25-32-thin,YC25_32,mineral,private,FALSE,0,210,0,210,DISTID1,Spruce25-32-thin,YC25_32,mineral,private,0,0,100
Cbmix-Conifer,YC10,mineral,private,FALSE,0,210,0,210,DISTID1,Cbmix-Conifer,YC10,mineral,private,0,0,100
Spruce4-12,YC4_12,mineral,private,FALSE,0,210,0,210,DISTID1,Spruce4-12,YC4_12,mineral,private,0,0,100
Cmix,YC10,mineral,private,FALSE,0,210,0,210,DISTID1,Cmix,YC10,mineral,private,0,0,100
OC,YC10,mineral,private,FALSE,0,210,0,210,DISTID1,OC,YC10,mineral,private,0,0,100
SGB,YC6,mineral,private,FALSE,0,210,0,210,DISTID1,SGB,YC6,mineral,private,0,0,100
SNFGB-peat,YC6,mineral,private,FALSE,0,210,0,210,DISTID1,SNFGB-peat,YC6,mineral,private,0,0,100
Spruce13-16,YC13_16,mineral,private,FALSE,0,210,0,210,DISTID1,Spruce13-16,YC13_16,mineral,private,0,0,100
Spruce17-20-nothin,YC17_20,mineral,private,FALSE,0,210,0,210,DISTID1,Spruce17-20-nothin,YC17_20,mineral,private,0,0,100
Spruce17-20-thin,YC17_20,mineral,private,FALSE,0,210,0,210,DISTID1,Spruce17-20-thin,YC17_20,mineral,private,0,0,100
Spruce21-24-nothin,YC21_24,mineral,private,FALSE,0,210,0,210,DISTID1,Spruce21-24-nothin,YC21_24,mineral,private,0,0,100
Spruce21-24-thin,YC21_24,mineral,private,FALSE,0,210,0,210,DISTID1,Spruce21-24-thin,YC21_24,mineral,private,0,0,100
Spruce25-32-nothin,YC25_32,mineral,private,FALSE,0,210,0,210,DISTID1,Spruce25-32-nothin,YC25_32,mineral,private,0,0,100
Pine13-30,YC13_30,mineral,private,FALSE,0,210,0,210,DISTID1,Pine13-30,YC13_30,mineral,private,0,0,100
Pine4-12,YC4_12,mineral,private,FALSE,0,210,0,210,DISTID1,Pine4-12,YC4_12,mineral,private,0,0,100
SNFGB-mineral,YC6,peat,private,FALSE,0,210,0,210,DISTID1,SNFGB-mineral,YC6,peat,private,0,0,100
