Classifier1,Classifier2,Classifier3,Classifier4,LeadSpecies,Vol0,Vol1,Vol2,Vol3,Vol4,Vol5,Vol6,Vol7,Vol8,Vol9,Vol10,Vol11,Vol12,Vol13,Vol14,Vol15,Vol16,Vol17,Vol18,Vol19,Vol20
Spruce13-16,L,?,YC13_16,Spruce13-16,0,0.0310944910397624,1.72901949163048,13.4853144369128,47.1659814643299,107.744711880597,190.457023944942,285.194213620469,381.663559466924,472.215342967628,552.447100430229,620.640013668415,676.869371492327,722.211002778764,758.173902056966,786.349393837975,808.221941684012,825.085139260545,838.019315173062,847.901496935136,855.429838070329
Spruce17-20-nothin,L,?,YC17_20,Spruce17-20-nothin,0,0.0377495521461689,4.17878894699565,36.7783173808698,121.11561551495,244.365575003344,375.329980496654,490.694100377838,581.350957934215,647.7075102703,694.149802014859,725.741104866674,746.842139165462,760.772301963986,769.899487779575,775.8507466511,779.719048165507,782.228353602411,783.853975483686,784.906225982855,785.586967145331
Spruce21-24-nothin,L,?,YC21_24,Spruce21-24-nothin,0,0.234801292645128,14.6213764016932,91.2733339287195,239.695842165032,419.864830224166,580.571798448009,702.670023750709,787.215203465719,842.646257610588,877.827551402758,899.726688623593,913.19982197455,921.430857511483,926.438085405863,929.476365097338,931.317078887964,932.431216618549,933.105195420663,933.512768396145,933.759187827104
Spruce25-32-nothin,L,?,YC25_32,Spruce25-32-nothin,0,1.21477348750194,40.3940997619578,178.644523893018,366.745990344354,525.102558222436,631.22810802565,694.608731195062,730.278479421828,749.741358260028,760.190351219047,765.752497067574,768.700060185734,770.258385339212,771.081219727863,771.51541171039,771.744446215153,771.865238948856,771.928938875815,771.96252926485,771.980241750839
Spruce4-12,L,?,YC4_12,Spruce4-12,0,0.00186206333780236,0.209663257631778,2.32019540759218,9.991432375591,26.0916605658269,50.4557232217375,80.3748402785783,112.32214529588,143.293335395344,171.335858632473,195.510731042143,215.621107637541,231.918567753679,244.87371118557,255.025811575003,262.897220093892,268.952115037593,273.582203930725,277.107117330632,279.781768029215
SGB,L,?,YC6,SGB,0,2.73968473943146,11.1292961163952,24.8133543864138,42.8963444716043,64.3983545077173,88.3967855203836,114.077440202479,140.748752763612,167.839388550646,194.888350482739,221.532109187824,247.491075977939,272.556604343478,296.579092506913,319.457420154871,341.1297644217,361.565738635487,380.759746087942,398.725419247378,415.491010006803
NF_Spruce13-16,A,?,YC13_16,NF_Spruce13-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF_Spruce17-20-nothin,A,?,YC17_20,NF_Spruce17-20-nothin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF_Spruce21-24-nothin,A,?,YC21_24,NF_Spruce21-24-nothin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF_Spruce25-32-nothin,A,?,YC25_32,NF_Spruce25-32-nothin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF_Spruce4-12,A,?,YC4_12,NF_Spruce4-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NF_SGB,A,?,YC6,NF_SGB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
